stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\code\I2P2\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.76992] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76993] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.76993] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76994] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76995] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76995] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76997] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.76998] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76998] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.76999] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77000] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.77001] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77001] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.77002] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77003] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77003] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77004] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77006] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.77006] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77007] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.77008] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77008] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.77009] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77010] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.77011] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77011] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77012] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77013] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77014] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77014] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.77015] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77016] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.77016] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77017] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.77018] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77019] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.77019] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77020] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77021] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.77021] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.77022] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77023] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.77024] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77024] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.77025] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77026] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.77026] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.77027] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.77028] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77029] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77029] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77031] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77031] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77033] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77034] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77034] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77035] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77036] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77037] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77037] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77038] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77039] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77040] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77040] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77041] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77043] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77043] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77044] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77045] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77045] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77046] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77047] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77048] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77048] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77049] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77050] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77050] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77051] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77052] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77053] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77053] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77054] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77055] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77055] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77056] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77057] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77058] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77058] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77059] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77060] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77061] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77062] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77063] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77064] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77065] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77066] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77066] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77067] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77068] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77069] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77069] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77070] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77071] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77071] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77073] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77074] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77074] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77076] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77077] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77077] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77078] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77079] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77080] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77080] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77081] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77082] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77082] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77083] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77084] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77085] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77085] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77086] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77087] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77088] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77088] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77089] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77090] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77091] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77091] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.77092] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77093] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77093] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77094] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77095] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77096] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.77097] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.77098] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   1.77100] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   1.77120] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   1.77123] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   1.80542] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   1.86089] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   1.86095] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   1.86098] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   1.86103] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   1.86105] Returning d3d_display: 00000000013aabd0
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   1.86106] al_display=00000000013aabd0
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   1.86107] al_display->vt=00000000013aaa60
system   D            wsystem.c:874  _al_win_safe_load_library        [   1.86124] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   1.86125] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   1.86149] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   1.86151] Module "d3dx9_43.dll" loaded.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.86251] opening ./assets/image/game_icon.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.86272] opening ./assets/image/game_icon.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86290] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86292] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86294] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86295] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86296] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86298] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86299] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86300] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86301] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.86303] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.86304] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.86305] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.86307] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.86467] added dtor for bitmap 0000000002cb93c0, func 00007ffa8f151bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86714] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86717] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86718] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86719] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86720] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86720] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86721] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86722] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.86723] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.86723] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.86724] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.86725] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.86726] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.86752] added dtor for bitmap 0000000002cb5430, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.87389] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.87396] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.87452] removed dtor for bitmap 0000000002cb5430
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87502] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87505] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87506] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87506] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87507] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87508] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87509] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87509] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.87510] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.87511] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.87511] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.87512] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.87513] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.87551] added dtor for bitmap 0000000002cb5430, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.87959] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.87965] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.88165] removed dtor for bitmap 0000000002cb5430
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   1.88287] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   1.88291] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.88292] added dtor for voice 0000000002cb5470, func 00007ffa8f285024
dtor     D               dtor.c:196  _al_register_destructor          [   1.88293] added dtor for mixer 0000000002cb5620, func 00007ffa8f2804dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   1.88295] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   1.88296] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   1.90306] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   1.90312] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   1.90317] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   1.90320] added dtor for sample_instance 0000000002cb5860, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90322] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90323] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90323] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90324] added dtor for sample_instance 0000000002cb5980, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90325] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90326] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90327] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90328] added dtor for sample_instance 0000000002cb5aa0, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90329] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90330] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90331] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90332] added dtor for sample_instance 0000000002cb5bc0, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90333] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90334] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90334] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90335] added dtor for sample_instance 0000000002cb5d70, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90336] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90337] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90338] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90338] added dtor for sample_instance 0000000002cb7e70, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90339] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90340] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90341] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90341] added dtor for sample_instance 0000000002cb7f90, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90342] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90343] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90344] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90345] added dtor for sample_instance 0000000002cc35a0, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90353] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90363] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90367] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90371] added dtor for sample_instance 0000000002cb81c0, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90373] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90375] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90377] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90378] added dtor for sample_instance 0000000002cb82e0, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90380] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90381] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90383] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90384] added dtor for sample_instance 0000000002cb8400, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90386] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90388] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90390] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90391] added dtor for sample_instance 0000000002cb8d30, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90399] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90401] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90402] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90404] added dtor for sample_instance 0000000002cb8e50, func 00007ffa8f27929b
